Species	Lat	Long
Colobura_dirce	-0.1	-80.166667
Historis_acheronta	-0.1	-80.166667
Historis_odius	-0.1	-80.166667
Colobura_dirce	-18.613261	-59.063864
Historis_odius	3.03465	-76.423097
Historis_acheronta	19.511739	-96.894167
Historis_odius	19.511739	-96.894167
Colobura_dirce	16.838975	-88.806158
Historis_acheronta	16.838975	-88.806158
Historis_odius	16.838975	-88.806158
Colobura_dirce	1.250419	-70.234639
Historis_acheronta	1.250419	-70.234639
Historis_odius	1.250419	-70.234639
Baeotus_deucalion	1.250419	-70.234639
Historis_odius	-23.665181	-46.551372
Colobura_dirce	-23.665181	-46.551372
Colobura_dirce	6.65	-73.1
Historis_odius	21.218058	-87.530475
Colobura_dirce	21.218058	-87.530475
Colobura_dirce	-22.493908	-42.949256
Historis_acheronta	-22.493908	-42.949256
Historis_odius	-22.493908	-42.949256
Colobura_dirce	-22.453903	-42.771669
Historis_odius	-22.453903	-42.771669
Historis_acheronta	-22.453903	-42.771669
Colobura_dirce	-22.405842	-42.607017
Historis_odius	-22.405842	-42.607017
Historis_acheronta	-22.405842	-42.607017
Historis_odius	-22.280175	-42.513769
Colobura_dirce	6.766581	-73.083328
Historis_acheronta	6.766581	-73.083328
Historis_odius	6.766581	-73.083328
Colobura_dirce	-15.8395	-52.246944
Colobura_dirce	-20.050278	-44.005556
Colobura_dirce	-8.013333	-34.94525
Historis_odius	-8.013333	-34.94525
Colobura_dirce	-23.781278	-56.291361
Historis_odius	-23.781278	-56.291361
Colobura_dirce	15.264167	-84.949167
Historis_odius	15.264167	-84.949167
Historis_acheronta	15.264167	-84.949167
Historis_odius	-21.119131	-44.123011
Historis_acheronta	9.466667	-83.566667
Colobura_dirce	9.466667	-83.566667
Historis_odius	-9.15	-76.15
Colobura_dirce	-9.15	-76.15
Baeotus_aeilus	-9	-62.734722
Colobura_dirce	-9	-62.734722
Colobura_annulata	-9	-62.734722
Historis_acheronta	-9	-62.734722
Historis_odius	-9	-62.734722
Historis_acheronta	5.683806	-76.597111
Historis_odius	5.683806	-76.597111
Colobura_dirce	5.683806	-76.597111
Colobura_dirce	-3.193611	-46.744167
Historis_acheronta	-3.193611	-46.744167
Historis_odius	-3.193611	-46.744167
Colobura_dirce	-20.516667	-43.683333
Historis_odius	-20.516667	-43.683333
Baeotus_deucalion	-2.851056	-54.956917
Colobura_annulata	-2.851056	-54.956917
Colobura_dirce	-2.851056	-54.956917
Historis_odius	-2.851056	-54.956917
Historis_acheronta	-2.851056	-54.956917
